slug_lowercase	endodymn	exonym_en_001
ar-001	العربية	Arabic
ar-eg	العربية - مصر	Arabic - Egypt
bn-001	বাংলা	Bengali
cy-001	Cymraeg	Cymraeg
cy-gb	Cymraeg - Y Deyrnas Unedig	Cymraeg - Y Deyrnas Unedig
en-001	English	English
en-150	English - Europe	English - Europe
en-gb	English - Great Britain	English - Great Britain
en-gb-oxendict	English - Great Britain - Oxford	English - Great Britain - Oxford
en-us	English - United States	English - United States
es-001	Español	Spanish
es-es	Español - España	Spanish - Spain
fr-001	Français	French
fr-fr	Français - France	French - France
hi-001	हिन्दी	Hindi
id-001	Bahasa Indonesia	Indonesian
pt-001	Português	Portuguese
ru-001	Русский	Russian
ru-ru	Русский - Россия	Russian - Russia
ur-001	اردو	Urdu
zh-001	中文	Chinese
zh-cn	中文 - 中国大陆	Chinese - China
